,path,index,x,y,v
153,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_153.png,153,605,321,252.0
154,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_154.png,154,609,293,253.0
155,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_155.png,155,614,267,245.0
156,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_156.png,156,621,244,248.0
157,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_157.png,157,628,221,202.0
158,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_158.png,158,636,199,222.0
159,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_159.png,159,641,176,248.0
160,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_160.png,160,648,153,53.0
161,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_161.png,161,649,141,253.0
162,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_162.png,162,640,164,186.0
163,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_163.png,163,629,188,187.0
164,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_164.png,164,620,212,253.0
165,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_165.png,165,609,236,177.0
166,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_166.png,166,600,261,217.0
167,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_167.png,167,592,288,41.0
168,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_168.png,168,584,313,230.0
169,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_169.png,169,580,339,58.0
170,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_170.png,170,400,201,36.0
171,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_171.png,171,400,200,37.0
172,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_172.png,172,563,419,252.0
173,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_173.png,173,557,445,238.0
174,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_174.png,174,553,472,224.0
175,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_175.png,175,551,497,181.0
176,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_176.png,176,552,521,71.0
177,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_177.png,177,826,268,37.0
178,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_178.png,178,825,269,38.0
179,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_179.png,179,560,468,253.0
180,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_180.png,180,400,198,38.0
181,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_181.png,181,400,199,38.0
182,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_182.png,182,826,276,37.0
183,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_183.png,183,400,200,38.0
184,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_184.png,184,580,345,232.0
185,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_185.png,185,585,319,117.0
186,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_186.png,186,589,294,141.0
187,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_187.png,187,826,269,36.0
188,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_188.png,188,400,201,36.0
189,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_189.png,189,618,222,146.0
190,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_190.png,190,400,202,37.0
191,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_191.png,191,642,176,60.0
192,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_192.png,192,653,151,241.0
193,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_193.png,193,660,147,186.0
194,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_194.png,194,826,272,37.0
195,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_195.png,195,829,225,35.0
196,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_196.png,196,642,220,121.0
197,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_197.png,197,400,200,37.0
